LECROYWR6051,12904,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,04-Jan-2002 05:24:59,0                 
Time,Ampl
-0.0025000152,-0.0265168
-0.0024999652,-0.0287265
-0.0024999152,-0.0287265
-0.0024998652,-0.024307
-0.0024998152,-0.0287265
-0.0024997652,-0.0220973
-0.0024997152,-0.024307
-0.0024996652,-0.024307
-0.0024996152,-0.0265168
-0.0024995652,-0.0265168
-0.0024995152,-0.0220973
-0.0024994652,-0.024307
-0.0024994152,-0.0309362
-0.0024993652,-0.0265168
-0.0024993152,-0.0265168
-0.0024992652,-0.0309362
-0.0024992152,-0.0309362
-0.0024991652,-0.0265168
-0.0024991152,-0.0265168
-0.0024990652,-0.024307
-0.0024990152,-0.0265168
-0.0024989652,-0.0287265
-0.0024989152,-0.0287265
-0.0024988652,-0.0265168
-0.0024988152,-0.0265168
-0.0024987652,-0.0265168
-0.0024987152,-0.0287265
-0.0024986652,-0.0287265
-0.0024986152,-0.0265168
-0.0024985652,-0.0287265
-0.0024985152,-0.0265168
-0.0024984652,-0.0265168
-0.0024984152,-0.0287265
-0.0024983652,-0.0265168
-0.0024983152,-0.0198876
-0.0024982652,-0.0287265
-0.0024982152,-0.0265168
-0.0024981652,-0.0287265
-0.0024981152,-0.0309362
-0.0024980652,-0.0309362
-0.0024980152,-0.024307
-0.0024979652,-0.0287265
-0.0024979152,-0.0287265
-0.0024978652,-0.0287265
-0.0024978152,-0.0265168
-0.0024977652,-0.0309362
-0.0024977152,-0.0331459
-0.0024976652,-0.0309362
-0.0024976152,-0.0287265
-0.0024975652,-0.0331459
-0.0024975152,-0.0287265
-0.0024974652,-0.0265168
-0.0024974152,-0.0287265
-0.0024973652,-0.0265168
-0.0024973152,-0.0287265
-0.0024972652,-0.0331459
-0.0024972152,-0.0287265
-0.0024971652,-0.0287265
-0.0024971152,-0.0309362
-0.0024970652,-0.0309362
-0.0024970152,-0.0309362
-0.0024969652,-0.0331459
-0.0024969152,-0.0287265
-0.0024968652,-0.0331459
-0.0024968152,-0.0331459
-0.0024967652,-0.0287265
-0.0024967152,-0.0309362
-0.0024966652,-0.0287265
-0.0024966152,-0.0331459
-0.0024965652,-0.0331459
-0.0024965152,-0.0309362
-0.0024964652,-0.0287265
-0.0024964152,-0.0309362
-0.0024963652,-0.0309362
-0.0024963152,-0.0287265
-0.0024962652,-0.0309362
-0.0024962152,-0.0309362
-0.0024961652,-0.0287265
-0.0024961152,-0.0287265
-0.0024960652,-0.0353557
-0.0024960152,-0.0309362
-0.0024959652,-0.0331459
-0.0024959152,-0.0331459
-0.0024958652,-0.0309362
-0.0024958152,-0.0309362
-0.0024957652,-0.0353557
-0.0024957152,-0.0331459
-0.0024956652,-0.0287265
-0.0024956152,-0.0309362
-0.0024955652,-0.0331459
-0.0024955152,-0.0331459
-0.0024954652,-0.0331459
-0.0024954152,-0.0353557
-0.0024953652,-0.0331459
-0.0024953152,-0.0331459
-0.0024952652,-0.0353557
-0.0024952152,-0.0309362
-0.0024951652,-0.0331459
-0.0024951152,-0.0331459
-0.0024950652,-0.0331459
-0.0024950152,-0.0353557
-0.0024949652,-0.0353557
-0.0024949152,-0.0309362
-0.0024948652,-0.0309362
-0.0024948152,-0.0331459
-0.0024947652,-0.0331459
-0.0024947152,-0.0331459
-0.0024946652,-0.0309362
-0.0024946152,-0.0309362
-0.0024945652,-0.0353557
-0.0024945152,-0.0309362
-0.0024944652,-0.0331459
-0.0024944152,-0.0331459
-0.0024943652,-0.0265168
-0.0024943152,-0.0353557
-0.0024942652,-0.0331459
-0.0024942152,-0.0353557
-0.0024941652,-0.0353557
-0.0024941152,-0.0353557
-0.0024940652,-0.0353557
-0.0024940152,-0.0309362
-0.0024939652,-0.0375654
-0.0024939152,-0.0331459
-0.0024938652,-0.0375654
-0.0024938152,-0.0353557
-0.0024937652,-0.0353557
-0.0024937152,-0.0375654
-0.0024936652,-0.0353557
-0.0024936152,-0.0353557
-0.0024935652,-0.0353557
-0.0024935152,-0.0353557
-0.0024934652,-0.0309362
-0.0024934152,-0.0397751
-0.0024933652,-0.0309362
-0.0024933152,-0.0331459
-0.0024932652,-0.0375654
-0.0024932152,-0.0331459
-0.0024931652,-0.0309362
-0.0024931152,-0.0331459
-0.0024930652,-0.0331459
-0.0024930152,-0.0331459
-0.0024929652,-0.0331459
-0.0024929152,-0.0331459
-0.0024928652,-0.0331459
-0.0024928152,-0.0375654
-0.0024927652,-0.0331459
-0.0024927152,-0.0353557
-0.0024926652,-0.0353557
-0.0024926152,-0.0331459
-0.0024925652,-0.0309362
-0.0024925152,-0.0353557
-0.0024924652,-0.0419849
-0.0024924152,-0.0353557
-0.0024923652,-0.0375654
-0.0024923152,-0.0375654
-0.0024922652,-0.0353557
-0.0024922152,-0.0375654
-0.0024921652,-0.0375654
-0.0024921152,-0.0331459
-0.0024920652,-0.0375654
-0.0024920152,-0.0353557
-0.0024919652,-0.0353557
-0.0024919152,-0.0375654
-0.0024918652,-0.0397751
-0.0024918152,-0.0375654
-0.0024917652,-0.0353557
-0.0024917152,-0.0375654
-0.0024916652,-0.0375654
-0.0024916152,-0.0397751
-0.0024915652,-0.0353557
-0.0024915152,-0.0375654
-0.0024914652,-0.0353557
-0.0024914152,-0.0375654
-0.0024913652,-0.0397751
-0.0024913152,-0.0375654
-0.0024912652,-0.0397751
-0.0024912152,-0.0353557
-0.0024911652,-0.0375654
-0.0024911152,-0.0375654
-0.0024910652,-0.0331459
-0.0024910152,-0.0375654
-0.0024909652,-0.0397751
-0.0024909152,-0.0375654
-0.0024908652,-0.0397751
-0.0024908152,-0.0375654
-0.0024907652,-0.0353557
-0.0024907152,-0.0353557
-0.0024906652,-0.0397751
-0.0024906152,-0.0353557
-0.0024905652,-0.0353557
-0.0024905152,-0.0353557
-0.0024904652,-0.0353557
-0.0024904152,-0.0397751
-0.0024903652,-0.0397751
-0.0024903152,-0.0397751
-0.0024902652,-0.0397751
-0.0024902152,-0.0397751
-0.0024901652,-0.0375654
-0.0024901152,-0.0375654
