LECROYWR6051,12904,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,03-Jan-2002 11:15:04,0                 
Time,Ampl
-0.0050000695,-0.00972281
-0.0049999695,-0.00928087
-0.0049998695,-0.0106067
-0.0049997695,-0.00972281
-0.0049996695,-0.0110486
-0.0049995695,-0.0106067
-0.0049994695,-0.0119325
-0.0049993695,-0.0101648
-0.0049992695,-0.0119325
-0.0049991695,-0.0110486
-0.0049990695,-0.0110486
-0.0049989695,-0.0110486
-0.0049988695,-0.0110486
-0.0049987695,-0.0106067
-0.0049986695,-0.0119325
-0.0049985695,-0.0114906
-0.0049984695,-0.0114906
-0.0049983695,-0.0110486
-0.0049982695,-0.0114906
-0.0049981695,-0.0114906
-0.0049980695,-0.0137003
-0.0049979695,-0.0123745
-0.0049978695,-0.0132584
-0.0049977695,-0.0132584
-0.0049976695,-0.0128164
-0.0049975695,-0.0128164
-0.0049974695,-0.0132584
-0.0049973695,-0.0128164
-0.0049972695,-0.0141423
-0.0049971695,-0.0132584
-0.0049970695,-0.0132584
-0.0049969695,-0.0132584
-0.0049968695,-0.0145842
-0.0049967695,-0.0137003
-0.0049966695,-0.0137003
-0.0049965695,-0.0137003
-0.0049964695,-0.0141423
-0.0049963695,-0.0141423
-0.0049962695,-0.0145842
-0.0049961695,-0.0145842
-0.0049960695,-0.0132584
-0.0049959695,-0.0145842
-0.0049958695,-0.0145842
-0.0049957695,-0.0141423
-0.0049956695,-0.016352
-0.0049955695,-0.0150262
-0.0049954695,-0.0159101
-0.0049953695,-0.0159101
-0.0049952695,-0.016352
-0.0049951695,-0.0154681
-0.0049950695,-0.016352
-0.0049949695,-0.0154681
-0.0049948695,-0.0167939
-0.0049947695,-0.0154681
-0.0049946695,-0.0181198
-0.0049945695,-0.0154681
-0.0049944695,-0.016352
-0.0049943695,-0.0159101
-0.0049942695,-0.0159101
-0.0049941695,-0.0167939
-0.0049940695,-0.0181198
-0.0049939695,-0.0167939
-0.0049938695,-0.0176778
-0.0049937695,-0.0172359
-0.0049936695,-0.0167939
-0.0049935695,-0.0172359
-0.0049934695,-0.0172359
-0.0049933695,-0.0167939
-0.0049932695,-0.0181198
-0.0049931695,-0.0181198
-0.0049930695,-0.0172359
-0.0049929695,-0.0172359
